Time, ProductionCenter, WorkersCount, BufferCount
71.0, Производственный центр №2, 2, 3
71.0, Производственный центр №3, 0, 1
71.0, Производственный центр №4, 0, 1
71.0, Производственный центр №5, 2, 3
72.0, Производственный центр №1, 2, 440
72.0, Производственный центр №2, 2, 2
72.0, Производственный центр №3, 2, 2
72.0, Производственный центр №4, 0, 1
72.0, Производственный центр №5, 0, 1
73.0, Производственный центр №1, 2, 438
73.0, Производственный центр №2, 2, 2
73.0, Производственный центр №3, 2, 2
73.0, Производственный центр №4, 0, 3
73.0, Производственный центр №5, 0, 1
74.0, Производственный центр №1, 2, 438
74.0, Производственный центр №2, 2, 1
74.0, Производственный центр №3, 2, 3
74.0, Производственный центр №4, 0, 3
74.0, Производственный центр №5, 0, 1
75.0, Производственный центр №1, 2, 437
75.0, Производственный центр №2, 2, 2
75.0, Производственный центр №3, 2, 1
75.0, Производственный центр №4, 0, 3
75.0, Производственный центр №5, 0, 3
76.0, Производственный центр №1, 2, 436
76.0, Производственный центр №2, 2, 2
76.0, Производственный центр №3, 0, 1
76.0, Производственный центр №4, 2, 4
76.0, Производственный центр №5, 0, 3
77.0, Производственный центр №1, 2, 435
77.0, Производственный центр №2, 2, 2
77.0, Производственный центр №3, 0, 1
77.0, Производственный центр №4, 2, 3
77.0, Производственный центр №5, 0, 5
78.0, Производственный центр №1, 2, 434
78.0, Производственный центр №2, 0, 1
78.0, Производственный центр №3, 1, 2
78.0, Производственный центр №4, 3, 4
78.0, Производственный центр №5, 0, 3
79.0, Производственный центр №1, 2, 433
79.0, Производственный центр №2, 0, 2
79.0, Производственный центр №3, 1, 2
79.0, Производственный центр №4, 3, 4
79.0, Производственный центр №5, 0, 3
80.0, Производственный центр №1, 2, 432
80.0, Производственный центр №2, 2, 2
80.0, Производственный центр №3, 0, 2
80.0, Производственный центр №4, 2, 3
80.0, Производственный центр №5, 0, 5
81.0, Производственный центр №1, 2, 431
81.0, Производственный центр №2, 2, 1
81.0, Производственный центр №3, 2, 3
81.0, Производственный центр №4, 0, 4
81.0, Производственный центр №5, 0, 5
82.0, Производственный центр №1, 2, 430
82.0, Производственный центр №2, 2, 2
82.0, Производственный центр №3, 2, 2
82.0, Производственный центр №4, 0, 4
82.0, Производственный центр №5, 0, 6
83.0, Производственный центр №1, 2, 430
83.0, Производственный центр №2, 2, 2
83.0, Производственный центр №3, 0, 2
83.0, Производственный центр №4, 2, 4
83.0, Производственный центр №5, 0, 6
84.0, Производственный центр №1, 2, 428
84.0, Производственный центр №2, 1, 2
84.0, Производственный центр №3, 0, 2
84.0, Производственный центр №4, 3, 4
84.0, Производственный центр №5, 0, 8
85.0, Производственный центр №1, 2, 428
85.0, Производственный центр №2, 0, 1
85.0, Производственный центр №3, 2, 3
85.0, Производственный центр №4, 0, 4
85.0, Производственный центр №5, 2, 6
86.0, Производственный центр №1, 2, 428
86.0, Производственный центр №2, 0, 1
86.0, Производственный центр №3, 2, 2
86.0, Производственный центр №4, 2, 4
86.0, Производственный центр №5, 0, 7
87.0, Производственный центр №1, 2, 426
87.0, Производственный центр №2, 2, 3
87.0, Производственный центр №3, 0, 2
87.0, Производственный центр №4, 0, 2
87.0, Производственный центр №5, 2, 7
88.0, Производственный центр №1, 2, 426
88.0, Производственный центр №2, 2, 3
88.0, Производственный центр №3, 0, 2
88.0, Производственный центр №4, 0, 2
88.0, Производственный центр №5, 2, 5
89.0, Производственный центр №1, 2, 425
89.0, Производственный центр №2, 2, 2
89.0, Производственный центр №3, 2, 3
89.0, Производственный центр №4, 0, 3
89.0, Производственный центр №5, 0, 5
90.0, Производственный центр №1, 2, 424
90.0, Производственный центр №2, 2, 2
90.0, Производственный центр №3, 2, 2
90.0, Производственный центр №4, 0, 4
90.0, Производственный центр №5, 0, 6
91.0, Производственный центр №1, 2, 423
91.0, Производственный центр №2, 2, 1
91.0, Производственный центр №3, 0, 3
91.0, Производственный центр №4, 2, 5
91.0, Производственный центр №5, 0, 6
92.0, Производственный центр №1, 2, 422
92.0, Производственный центр №2, 2, 2
92.0, Производственный центр №3, 0, 2
92.0, Производственный центр №4, 2, 3
92.0, Производственный центр №5, 0, 9
93.0, Производственный центр №1, 2, 421
93.0, Производственный центр №2, 2, 2
93.0, Производственный центр №3, 0, 2
93.0, Производственный центр №4, 0, 4
93.0, Производственный центр №5, 2, 7
94.0, Производственный центр №1, 2, 420
94.0, Производственный центр №2, 1, 2
94.0, Производственный центр №3, 0, 2
94.0, Производственный центр №4, 3, 5
94.0, Производственный центр №5, 0, 5
95.0, Производственный центр №1, 2, 419
95.0, Производственный центр №2, 2, 2
95.0, Производственный центр №3, 0, 3
95.0, Производственный центр №4, 2, 5
95.0, Производственный центр №5, 0, 5
96.0, Производственный центр №1, 2, 418
96.0, Производственный центр №2, 2, 3
96.0, Производственный центр №3, 2, 3
96.0, Производственный центр №4, 0, 3
96.0, Производственный центр №5, 0, 7
97.0, Производственный центр №1, 2, 418
97.0, Производственный центр №2, 2, 3
97.0, Производственный центр №3, 2, 2
97.0, Производственный центр №4, 0, 3
97.0, Производственный центр №5, 0, 8
98.0, Производственный центр №1, 2, 416
98.0, Производственный центр №2, 2, 3
98.0, Производственный центр №3, 0, 2
98.0, Производственный центр №4, 2, 5
98.0, Производственный центр №5, 0, 6
99.0, Производственный центр №1, 2, 416
99.0, Производственный центр №2, 2, 2
99.0, Производственный центр №3, 0, 3
99.0, Производственный центр №4, 2, 5
99.0, Производственный центр №5, 0, 6
100.0, Производственный центр №1, 2, 416
100.0, Производственный центр №2, 2, 2
100.0, Производственный центр №3, 0, 2
100.0, Производственный центр №4, 2, 3
100.0, Производственный центр №5, 0, 9
101.0, Производственный центр №1, 2, 414
101.0, Производственный центр №2, 0, 1
101.0, Производственный центр №3, 2, 3
101.0, Производственный центр №4, 0, 5
101.0, Производственный центр №5, 2, 7
102.0, Производственный центр №1, 2, 414
102.0, Производственный центр №2, 0, 1
102.0, Производственный центр №3, 2, 3
102.0, Производственный центр №4, 2, 5
102.0, Производственный центр №5, 0, 7
103.0, Производственный центр №1, 2, 413
103.0, Производственный центр №2, 2, 2
103.0, Производственный центр №3, 0, 2
103.0, Производственный центр №4, 0, 3
103.0, Производственный центр №5, 2, 8
104.0, Производственный центр №1, 2, 412
104.0, Производственный центр №2, 2, 2
104.0, Производственный центр №3, 0, 2
104.0, Производственный центр №4, 0, 4
104.0, Производственный центр №5, 2, 6
105.0, Производственный центр №1, 2, 411
105.0, Производственный центр №2, 2, 2
105.0, Производственный центр №3, 0, 2
105.0, Производственный центр №4, 2, 5
105.0, Производственный центр №5, 0, 6
106.0, Производственный центр №1, 2, 410
106.0, Производственный центр №2, 2, 3
106.0, Производственный центр №3, 0, 2
106.0, Производственный центр №4, 2, 3
106.0, Производственный центр №5, 0, 8
107.0, Производственный центр №1, 2, 409
107.0, Производственный центр №2, 0, 2
107.0, Производственный центр №3, 2, 3
107.0, Производственный центр №4, 0, 4
107.0, Производственный центр №5, 2, 6
108.0, Производственный центр №1, 2, 408
108.0, Производственный центр №2, 0, 1
108.0, Производственный центр №3, 2, 3
108.0, Производственный центр №4, 2, 4
108.0, Производственный центр №5, 0, 8
109.0, Производственный центр №1, 2, 407
109.0, Производственный центр №2, 0, 2
109.0, Производственный центр №3, 2, 3
109.0, Производственный центр №4, 0, 4
109.0, Производственный центр №5, 2, 6
110.0, Производственный центр №1, 2, 406
110.0, Производственный центр №2, 2, 2
110.0, Производственный центр №3, 2, 2
110.0, Производственный центр №4, 0, 5
110.0, Производственный центр №5, 0, 7
111.0, Производственный центр №1, 2, 406
111.0, Производственный центр №2, 2, 2
111.0, Производственный центр №3, 0, 2
111.0, Производственный центр №4, 0, 4
111.0, Производственный центр №5, 2, 7
112.0, Производственный центр №1, 2, 404
112.0, Производственный центр №2, 1, 2
112.0, Производственный центр №3, 0, 2
112.0, Производственный центр №4, 3, 6
112.0, Производственный центр №5, 0, 5
113.0, Производственный центр №1, 2, 404
113.0, Производственный центр №2, 0, 1
113.0, Производственный центр №3, 2, 3
113.0, Производственный центр №4, 2, 3
113.0, Производственный центр №5, 0, 8
114.0, Производственный центр №1, 2, 404
114.0, Производственный центр №2, 0, 1
114.0, Производственный центр №3, 2, 2
114.0, Производственный центр №4, 0, 3
114.0, Производственный центр №5, 2, 7
115.0, Производственный центр №1, 2, 402
115.0, Производственный центр №2, 2, 3
115.0, Производственный центр №3, 0, 2
115.0, Производственный центр №4, 0, 3
115.0, Производственный центр №5, 2, 5
116.0, Производственный центр №1, 2, 402
116.0, Производственный центр №2, 2, 3
116.0, Производственный центр №3, 2, 1
116.0, Производственный центр №4, 0, 3
116.0, Производственный центр №5, 0, 6
117.0, Производственный центр №1, 2, 401
117.0, Производственный центр №2, 2, 3
117.0, Производственный центр №3, 0, 1
117.0, Производственный центр №4, 2, 4
117.0, Производственный центр №5, 0, 4
118.0, Производственный центр №1, 2, 400
118.0, Производственный центр №2, 2, 3
118.0, Производственный центр №3, 0, 1
118.0, Производственный центр №4, 2, 5
118.0, Производственный центр №5, 0, 4
119.0, Производственный центр №1, 2, 399
119.0, Производственный центр №2, 0, 1
119.0, Производственный центр №3, 2, 3
119.0, Производственный центр №4, 2, 4
119.0, Производственный центр №5, 0, 6
120.0, Производственный центр №1, 2, 398
120.0, Производственный центр №2, 2, 2
120.0, Производственный центр №3, 2, 3
120.0, Производственный центр №4, 0, 3
120.0, Производственный центр №5, 0, 7
121.0, Производственный центр №1, 2, 397
121.0, Производственный центр №2, 2, 2
121.0, Производственный центр №3, 0, 2
121.0, Производственный центр №4, 0, 4
121.0, Производственный центр №5, 2, 6
122.0, Производственный центр №1, 2, 396
122.0, Производственный центр №2, 1, 2
122.0, Производственный центр №3, 0, 2
122.0, Производственный центр №4, 3, 4
122.0, Производственный центр №5, 0, 7
123.0, Производственный центр №1, 2, 395
123.0, Производственный центр №2, 1, 2
123.0, Производственный центр №3, 0, 2
123.0, Производственный центр №4, 3, 5
123.0, Производственный центр №5, 0, 5
124.0, Производственный центр №1, 2, 394
124.0, Производственный центр №2, 2, 3
124.0, Производственный центр №3, 0, 2
124.0, Производственный центр №4, 2, 3
124.0, Производственный центр №5, 0, 7
125.0, Производственный центр №1, 2, 394
125.0, Производственный центр №2, 2, 2
125.0, Производственный центр №3, 2, 3
125.0, Производственный центр №4, 0, 3
125.0, Производственный центр №5, 0, 5
126.0, Производственный центр №1, 2, 392
126.0, Производственный центр №2, 0, 1
126.0, Производственный центр №3, 2, 3
126.0, Производственный центр №4, 2, 5
126.0, Производственный центр №5, 0, 4
127.0, Производственный центр №1, 2, 392
127.0, Производственный центр №2, 0, 1
127.0, Производственный центр №3, 2, 3
127.0, Производственный центр №4, 2, 4
127.0, Производственный центр №5, 0, 5
128.0, Производственный центр №1, 2, 392
128.0, Производственный центр №2, 0, 1
128.0, Производственный центр №3, 1, 2
128.0, Производственный центр №4, 3, 3
128.0, Производственный центр №5, 0, 7
129.0, Производственный центр №1, 2, 390
129.0, Производственный центр №2, 2, 3
129.0, Производственный центр №3, 0, 1
129.0, Производственный центр №4, 0, 3
129.0, Производственный центр №5, 2, 6
130.0, Производственный центр №1, 2, 390
130.0, Производственный центр №2, 2, 3
130.0, Производственный центр №3, 0, 1
130.0, Производственный центр №4, 0, 3
130.0, Производственный центр №5, 2, 4
131.0, Производственный центр №1, 2, 389
131.0, Производственный центр №2, 2, 3
131.0, Производственный центр №3, 0, 1
131.0, Производственный центр №4, 2, 2
131.0, Производственный центр №5, 0, 6
132.0, Производственный центр №1, 2, 388
132.0, Производственный центр №2, 2, 2
132.0, Производственный центр №3, 2, 2
132.0, Производственный центр №4, 0, 3
132.0, Производственный центр №5, 0, 4
133.0, Производственный центр №1, 2, 387
133.0, Производственный центр №2, 2, 1
133.0, Производственный центр №3, 2, 3
133.0, Производственный центр №4, 0, 4
133.0, Производственный центр №5, 0, 4
134.0, Производственный центр №1, 2, 386
134.0, Производственный центр №2, 0, 2
134.0, Производственный центр №3, 2, 3
134.0, Производственный центр №4, 2, 4
134.0, Производственный центр №5, 0, 4
135.0, Производственный центр №1, 2, 385
135.0, Производственный центр №2, 2, 2
135.0, Производственный центр №3, 0, 1
135.0, Производственный центр №4, 2, 3
135.0, Производственный центр №5, 0, 8
136.0, Производственный центр №1, 2, 384
136.0, Производственный центр №2, 2, 2
136.0, Производственный центр №3, 0, 1
136.0, Производственный центр №4, 0, 4
136.0, Производственный центр №5, 2, 6
137.0, Производственный центр №1, 2, 383
137.0, Производственный центр №2, 2, 2
137.0, Производственный центр №3, 0, 1
137.0, Производственный центр №4, 2, 5
137.0, Производственный центр №5, 0, 6
138.0, Производственный центр №1, 2, 382
138.0, Производственный центр №2, 2, 2
138.0, Производственный центр №3, 0, 2
138.0, Производственный центр №4, 2, 3
138.0, Производственный центр №5, 0, 8
139.0, Производственный центр №1, 2, 382
139.0, Производственный центр №2, 2, 2
139.0, Производственный центр №3, 0, 2
139.0, Производственный центр №4, 0, 3
139.0, Производственный центр №5, 2, 6
140.0, Производственный центр №1, 2, 380
140.0, Производственный центр №2, 1, 2
140.0, Производственный центр №3, 0, 2
140.0, Производственный центр №4, 3, 5
140.0, Производственный центр №5, 0, 4
141.0, Производственный центр №1, 2, 380
141.0, Производственный центр №2, 1, 1
141.0, Производственный центр №3, 0, 3
141.0, Производственный центр №4, 3, 5
141.0, Производственный центр №5, 0, 4
142.0, Производственный центр №1, 2, 380
142.0, Производственный центр №2, 0, 1
142.0, Производственный центр №3, 2, 3
142.0, Производственный центр №4, 2, 3
142.0, Производственный центр №5, 0, 6
143.0, Производственный центр №1, 2, 378
143.0, Производственный центр №2, 2, 3
143.0, Производственный центр №3, 2, 3
